id;macoquan;tencoquan;noidung;tendaidien;sudung
1;Naira Versatile seize;asymmetric EXE;web services;Industrial Designer Incredible Fresh Car;52770
2;Agent Gorgeous Rubber Chicken Associate;Tuna magenta;Wells;Naira iterate;73710
3;Product;Brand Regional Court;B2B Mouse;Junctions one-to-one;58365
4;Fantastic;zero defect Ridges Beauty;groupware;Credit Card Account clear-thinking Frozen;7620
5;Usability models New Mexico;markets Accountability EXE;Chair;drive online;98727
6;Shirt Credit Card Account disintermediate;transmitting Tennessee Practical Steel Shirt;24/7;Refined;69171
7;Zimbabwe parse Customer;input Accounts;enhance Multi-channelled purple;Response;60617
8;Synergized;calculate Fantastic Concrete Computer Baby;Kyrgyz Republic transmit;solution connecting;96797
9;Refined redundant;Granite Grocery;bluetooth payment digital;Rubber Industrial seamless;58991
10;mesh partnerships;array Luxembourg Spurs;empower Home Loan Account SMS;back-end Via indexing;76891
