id;ma;ten;diem;noidung;sudung
1;Cambridgeshire Personal Loan Account Chile;syndicate;75823;Zimbabwe Dollar Salad;81583
2;Pre-emptive Reduced;Kids Customer;86012;Trail;39116
3;bi-directional;HTTP Configuration;86212;virtual;65524
4;Russian Federation Gorgeous ROI;Computers Saint Helena Pound;4878;Belarus Integration;10946
5;Senior Facilitator Sleek Fresh Shoes;Virginia generating;34780;Ouguiya Utah;26702
6;EXE optical deposit;Pizza Fish next-generation;23869;Quality Generic El Salvador Colon US Dollar;18922
7;SCSI;RSS Outdoors backing up;12886;one-to-one reboot Chair;81796
8;synthesizing Bedfordshire;black;8409;website New York;11584
9;expedite;Solomon Islands;77984;Gorgeous;76102
10;Italy;copying benchmark Sausages;75369;solid state;17375
