id;ma;ten;thoigiantao;thoigianbatdau;thoigianketthuc;nam;muctieu;noidung;tinhcapthiet;ketqua;xeploai;trangthai;tenchunhiem;nhansu;sudung
1;mobile Fish;Home Loan Account Table Computer;2020-07-09;2020-07-09;2020-07-08;33370;Metal deposit;Producer;83244;red Chips Soap;30424;61165;Grocery Home;Investment Account Steel;29214
2;24/7 Common bluetooth;syndicate;2020-07-08;2020-07-09;2020-07-09;4645;Credit Card Account Table Small Frozen Sausages;South Dakota envisioneer Music;23089;Monitored Bahamian Dollar Investment Account;83319;3438;Regional;Tuna;75536
3;convergence;Mayotte;2020-07-09;2020-07-09;2020-07-08;84228;Views e-enable Communications;National Awesome sky blue;4522;software scale interactive;82873;58675;Specialist Home Loan Account;Plastic;80219
4;Small;deliverables reinvent 24 hour;2020-07-09;2020-07-08;2020-07-09;70685;application quantify Unbranded Plastic Tuna;Internal;85003;Highway Ergonomic;37081;31098;moratorium pixel withdrawal;Mississippi embrace Developer;84891
5;hard drive Robust Networked;Poland;2020-07-09;2020-07-09;2020-07-09;43933;red;withdrawal knowledge base Buckinghamshire;90756;Phased;41038;53984;white Brand Money Market Account;Salad Web virtual;63340
6;RSS;mint green e-business EXE;2020-07-09;2020-07-08;2020-07-09;89609;support Gorgeous;withdrawal;52;cutting-edge ability Hat;53408;41741;magenta Concrete;User-centric Gloves;21876
7;Oklahoma facilitate;Engineer;2020-07-08;2020-07-09;2020-07-09;69630;card Plastic;Computers Personal Loan Account Berkshire;5147;encompassing;90826;63435;Canadian Dollar;Berkshire Designer;24205
8;Bulgarian Lev navigate;Re-contextualized;2020-07-08;2020-07-09;2020-07-09;63230;withdrawal Solomon Islands Licensed;Gloves Bedfordshire Argentine Peso;85835;neural-net red;71114;51209;Future-proofed deposit Sausages;disintermediate Cambridgeshire hacking;67569
9;bandwidth azure;SMS Enhanced;2020-07-09;2020-07-09;2020-07-08;98216;Borders content-based;Tasty Customer Human;63310;B2B;34920;70035;programming SCSI drive;invoice Unbranded Cheese;89855
10;Home Loan Account Tools Unbranded;Supervisor clear-thinking;2020-07-09;2020-07-09;2020-07-09;69189;invoice Devolved;Computers Bedfordshire Fish;36646;program alarm;30806;56830;Sleek turn-key;Ergonomic;58987
