id;manguonkinhphi;tennguonkinhphi;noidung;sotiencap;sudung
1;Illinois robust;Granite Rubber;enable;69766;64087
2;Chicken;e-business RSS;Rand Soap;19228;22384
3;hacking;even-keeled Chair;Brazil;53442;46077
4;cyan innovative;open architecture alliance;online;62790;68778
5;Cambridgeshire;Regional;Home;86830;80620
6;quantify;Manager;cultivate Bedfordshire;61825;75995
7;Kiribati monitor;Games;Metal;68716;89520
8;Buckinghamshire Antarctica (the territory South of 60 deg S) Refined;back-end enhance;optimal;37728;18228
9;Kentucky;blue internet solution Concrete;distributed Ranch impactful;64882;49844
10;Awesome Russian Federation;Pennsylvania Michigan;Cotton encompassing;36308;89964
