id;ten;donvi;trachnhiem;sudung
1;Hawaii Networked;Handcrafted Rubber Gloves;26899;59026
2;e-tailers Architect Chair;Handcrafted Cotton Shirt Walks;60002;72188
3;payment;XSS solid state Handmade Granite Fish;10493;14592
4;Tasty;Steel Berkshire;61815;21034
5;efficient back up Tactics;Borders;8786;88253
6;Small bypassing;monetize Frozen;56754;20085
7;Turkish Lira overriding Rustic Metal Computer;deposit circuit Kids;93621;61660
8;Home Loan Account;capacitor;87096;94735
9;Auto Loan Account cross-platform Auto Loan Account;Handcrafted Customer;54759;59747
10;online Port Sleek Wooden Fish;Handmade Generic Concrete Tuna;15954;47927
