id;matiendo;kybaocao;noidung;thoigianbatdau;thoigianketthuc;khoiluonghoanthanh;ghichu;sudung
1;Bedfordshire 4th generation Equatorial Guinea;Auto Loan Account;indexing;2020-07-08;2020-07-09;15467;Auto Loan Account Course;34438
2;bricks-and-clicks;Buckinghamshire Nepalese Rupee;Forge Licensed;2020-07-09;2020-07-08;233;Engineer Toys Fantastic;31459
3;solid state;Soft Quality Mount;Awesome;2020-07-08;2020-07-08;75839;invoice calculate feed;63723
4;Engineer Central deposit;Associate Branding Small Metal Soap;Officer New Hampshire Unions;2020-07-09;2020-07-09;12052;card azure Frozen;42176
5;online program Refined Granite Gloves;quantifying Baby;one-to-one Connecticut;2020-07-09;2020-07-09;88499;Greenland models streamline;57242
6;haptic;bluetooth policy;Timor-Leste e-commerce;2020-07-08;2020-07-09;41750;Track;99034
7;Outdoors;Holy See (Vatican City State);Data Tasty Steel Pants Licensed Steel Shirt;2020-07-09;2020-07-09;47978;Utah zero defect;39828
8;Practical killer Russian Federation;Adaptive Practical B2C;SQL;2020-07-08;2020-07-09;58910;24/7;91033
9;Practical Wooden Shirt whiteboard Concrete;Data open-source Generic;Facilitator XSS;2020-07-09;2020-07-09;90372;Officer parse;6498
10;matrix;deposit Auto Loan Account Avon;Intelligent Cotton Bike;2020-07-09;2020-07-09;95727;copying primary invoice;21632
