id;mota;noidung;noidung_content_type;thoigian
1;Savings Account utilisation Hill;../fake-data/blob/hipster.png;image/png;2020-07-08
2;PNG;../fake-data/blob/hipster.png;image/png;2020-07-09
3;Sleek Wooden Towels Clothing;../fake-data/blob/hipster.png;image/png;2020-07-08
4;workforce;../fake-data/blob/hipster.png;image/png;2020-07-09
5;Borders Intelligent whiteboard;../fake-data/blob/hipster.png;image/png;2020-07-09
6;web-readiness;../fake-data/blob/hipster.png;image/png;2020-07-09
7;indexing;../fake-data/blob/hipster.png;image/png;2020-07-09
8;Assurance mindshare navigating;../fake-data/blob/hipster.png;image/png;2020-07-09
9;array parse;../fake-data/blob/hipster.png;image/png;2020-07-09
10;Syrian Arab Republic;../fake-data/blob/hipster.png;image/png;2020-07-09
